WE_41B884,youssef,STUDBME2,CMP_LAB3,El-modarag,STUDBME1,CMP_LAB4,CMP_LAB2,ARC3,Sbme-Staff,CMP_LAB1,El-lab,Mo_Hamza,Farouk,RehabLab,Gamil,TP-Link_463C,redmi,ARC1,target
-60,-88,-64,-100,-77,-69,-71,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-65,-78,-79,-100,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,7
-45,-100,-53,-100,-100,-61,-56,-100,-100,-100,-59,-75,-100,-100,-100,-100,-100,-100,-100,9
-50,-100,-48,-57,-100,-100,-56,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,9
-42,-100,-51,-57,-100,-64,-100,-53,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,9
-63,-88,-67,-100,-70,-47,-100,-100,-71,-100,-100,-100,-100,-67,-100,-86,-100,-100,-100,5
-69,-100,-60,-75,-100,-100,-100,-100,-100,-100,-72,-63,-73,-100,-100,-100,-100,-100,-100,13
-65,-100,-55,-57,-100,-100,-58,-61,-100,-100,-58,-100,-81,-51,-100,-100,-100,-100,-100,11
-68,-100,-76,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-54,-83,-58,-100,-100,-53,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,7
-66,-86,-63,-75,-71,-100,-72,-100,-72,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,5
-69,-100,-67,-100,-66,-46,-100,-100,-100,-78,-100,-100,-100,-100,-100,-72,-100,-100,-100,5
-66,-100,-59,-75,-100,-100,-100,-100,-100,-100,-100,-46,-60,-100,-100,-100,-100,-100,-100,12
-52,-100,-47,-100,-100,-58,-100,-100,-100,-100,-47,-100,-100,-71,-100,-100,-100,-100,-100,11
-46,-100,-50,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,9
-66,-100,-56,-100,-100,-51,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,7
-63,-100,-54,-44,-100,-63,-100,-100,-100,-100,-45,-100,-100,-51,-59,-100,-100,-100,-100,10
-63,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-43,-61,-82,-100,-100,-100,-100,-100,12
-49,-100,-41,-100,-100,-100,-100,-100,-100,-100,-100,-61,-73,-100,-100,-100,-100,-100,-100,13
-68,-100,-51,-100,-100,-100,-76,-100,-100,-100,-100,-64,-70,-100,-100,-100,-100,-100,-100,13
-55,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-54,-62,-100,-100,-100,-100,11
-58,-100,-50,-48,-100,-100,-49,-46,-100,-100,-48,-100,-69,-62,-100,-100,-100,-100,-100,11
